SF	Freq	Lemma	Segmentation	Analysis
süllyedtél	1	süllyed	süllyed-tél	V-IND.PST.INDF.2.SG
szádra	1	száj	száj-d-ra	N.SG-PSS2S-ON+ALL
visszarakja	2	visszar	visszar-ak-ja	visszar-PL-PSS3S
banán	24	banán	banán	N.NOM.SG
állatokról	2	áll	áll-atok-ról	N.SG-PSS2P-ON+ABL
szem	3	szem	szem	N.NOM.SG
csinálni	111	csinál	csinál-ni	V-NFIN
társasjáték	1	társasjáték	társasjáték	N.NOM.SG
sár	3	sár	sár	N.NOM.SG
székkel	4	szék	szék-vel	N.SG-INST
kerék	25	kerék	kerék	N.NOM.SG
üljön	24	ül	ül-jön	V-SBJV.PRS.INDF.3.SG
varrása	1	varrás	varrás-a	N.NOM-PSS3S.SG
ötven	2	ötven	ötven	N.NOM.SG
tisztán	1	tiszta	tiszta-n	N.SG-ON+ESS
köszönöm	352	köszön	köszön-öm	V-IND.PRS.DEF.1.SG
sátor	9	sátor	sátor	N.NOM.SG
pelenkában	1	pelenka	pelenka-ban	N.SG-IN+ESS
bezár	1	bezár	bezár	V.IND.PRS.INDF.3.SG
dal	1	dal	dal	N.NOM.SG
belerakhatjuk	1	beler	beler-ak-hat-juk	beler-PL-POT-PSS3P
levered	2	lever	lever-ed	V-IND.PRS.DEF.2.SG
vízre	1	víz	víz-re	N.SG-ON+ALL
meglátszik	1	meglát	meglát-sz-ik	V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG.asz-PSS3P.PL
postára	2	posta	posta-ra	N.SG-ON+ALL
hát	1188	há	há-t	N.SG-ACC
malmot	3	malom	malom-ot	N.SG-ACC
pisislni	1	pisisl	pisisl-ni	pisisl-NFIN
tornyot	52	torony	torony-ot	N.SG-ACC
félkracjáromat	3	félkracjár	félkracjár-om-at	félkracjár-PSS1S-ACC
vidám	5	vidám	vidám	ADJ.NOM.SG
vizsgálja	3	vizsgál	vizsgál-ja	V-IND.PRS.DEF.3.SG
zengi	1	zeng	zeng-i	V-IND.PRS.DEF.3.SG.i
füle	50	fül	fül-e	N.NOM-PSS3S.SG
látjuk	3	lát	lát-juk	V-IND.PRS.DEF.1.PL
cicust	2	cicus	cicus-t	N.SG-ACC
mikici	14	mikic	mikic-i	mikic-PSS3S.PL
igazság	2	igazság	igazság	N.NOM.SG
csalánéknál	1	csalán	csalán-é-k-nál	N.NOM-PSS4S-PL-AT+ESS
főz	2	főz	főz	V.IND.PRS.INDF.3.SG
sötétet	1	sötét	sötét-et	N.SG-ACC
ella	2	ell	ell-a	N.NOM-PSS3S
kettőnknek	1	kettő	kettő-nk-nek	N.SG-PSS1P-DAT.SG
készültek	1	készül	készül-tek	V-IND.PST.INDF.3.PL
mikrofonba	1	mikrofon	mikrofon-ba	N.SG-IN+ALL
hozni	20	hoz	hoz-ni	V-NFIN
kiflit	16	kifli	kifli-t	N.SG-ACC
rozmárok	1	rozmár	rozmár-ok	N.NOM-PL
tudni	6	tud	tud-ni	V-NFIN
oldálon	1	oldál	oldál-on	oldál-ON+ESS
taraja	3	tar	tar-a-ja	ADJ.SG-PSS3S-PSS3S
elve	2	elve	elve	N.NOM.SG
hálóingben	1	hálóing	hálóing-ben	N.NOM-IN+ESS
injekciót	3	injekció	injekció-t	N.SG-ACC
szomorúbb	1	szomorú	szomorú-bb	ADJ.NOM.SG-CMPR
születésnapot	2	születésnap	születésnap-ot	N.SG-ACC
festéket	7	fest	fest-é-k-et	V.IND.PRS.INDF.3.SG-PSS4S-PL-ACC
törüld	3	tör	tör-ül-d	V.IND.PRS.INDF.3.SG-BYWAY-PSS2S
székeddel	1	szék	szék-ed-d-el	N.NOM-PSS2S-PSS2S-IND.PRS.INDF.2.SG.Ol
szerelő	1	szerelő	szerelő	N.NOM.SG
próbál	1	próbál	próbál	V.IND.PRS.INDF.3.SG
lázad	2	láz	láz-ad	N.NOM-PSS2S.SG
pelust	21	pelus	pelus-t	pelus-ACC
megyök	1	megy	megy-ök	V.IND.PRS.INDF.3.SG-PL
dobókockockát	1	dobókockocká	dobókockocká-t	dobókockocká-ACC
madárka	15	madár	madár-k-a	N.NOM-PL-PSS3S
barnabácsinak	1	barnabács	barnabács-i-nak	barnabács-PSS3S.PL-DAT
képes	1	képes	képes	ADJ.NOM.SG
homokozik	1	homokoz	homokoz-ik	homokoz-PSS3P.PL
tisztítja	2	tisztít	tisztít-ja	V-IND.PRS.DEF.3.SG
építi	1	épít	épít-i	V-IND.PRS.DEF.3.SG.i
beleestél	2	belees	belees-tél	belees-IND.PST.INDF.2.SG
nagyot	66	nagy	nagy-ot	N.SG-ACC
oldalán	1	oldal	oldal-a-n	N.SG-PSS3S-ON+ESS
összefogom	1	összefog	összefog-om	V-IND.PRS.DEF.1.SG
lelövi	1	lelő	lelő-i	V-IND.PRS.DEF.3.SG.i
nagymamát	1	nagymama	nagymama-t	N.SG-ACC
feküdnie	2	fekszik	feküd-nie	V-NFIN.3.SG
fényképezni	2	fényképez	fényképez-ni	V-NFIN
feketével	1	fekete	fekete-vel	N.SG-INST
életedben	1	élet	élet-ed-ben	N.NOM-PSS2S-IN+ESS
harisnyanadrágok	1	harisnyanadrág	harisnyanadrág-ok	harisnyanadrág-PL
építkeznek	1	építkez	építkez-nek	építkez-DAT
dada	6	dada	dada	N.NOM.SG
vigyázol	10	vigyáz	vigyáz-ol	V-IND.PRS.INDF.2.SG.Ol
traktorra	1	traktor	traktor-ra	N.SG-ON+ALL
borogatta	1	borogat	borogat-ta	V-IND.PST.DEF.3.SG
motor	41	motor	motor	N.NOM.SG
pucoltál	1	pucol	pucol-tál	V-IND.PST.INDF.2.SG
gyurikának	3	gyuriká	gyuriká-nak	gyuriká-DAT
hülyéskedtem	2	hülyéskedik	hülyésked-tem	V-IND.PST.INDF.1.SG
jövő	1	jövő	jövő	N.NOM.SG
írva	2	ír	ír-va	V-V.CVB
becsukjam	1	becsuk	becsuk-jam	V-SBJV.PRS.DEF.1.SG
csiki	3	csi	csi-k-i	N.NOM-PL-PSS3S.PL
tányérja	1	tányér	tányér-ja	N.NOM-PSS3S.SG
csipsz	1	csip	csip-sz	N.NOM-IND.PRS.INDF.2.SG.asz
eltöröd	2	eltör	eltör-öd	V-IND.PRS.DEF.2.SG
segítsek	17	segít	segít-jek	V-SBJV.PRS.INDF.1.SG
pingponglabdázni	1	pingponglabdáz	pingponglabdáz-ni	pingponglabdáz-NFIN
figyelem	1	figyelem	figyelem	N.NOM.SG
orvosok	1	orvos	orvos-ok	N.NOM-PL
lábacskádon	1	lábacská	lábacská-d-on	lábacská-PSS2S-ON+ESS
ülsz	15	ül	ül-sz	V-IND.PRS.INDF.2.SG.asz
apukának	1	apuká	apuká-nak	apuká-DAT
otthonába	1	otthoná	otthoná-ba	otthoná-IN+ALL
teve	5	teve	teve	N.NOM.SG
könyve	2	könyv	könyv-e	N.NOM-PSS3S.SG
kijönnek	1	kijön	kijön-nek	V-IND.PRS.INDF.3.PL
tenger	6	tenger	tenger	N.NOM.SG
bohócot	11	bohóc	bohóc-ot	N.SG-ACC
kosájt	1	kosá	kosá-j-t	kosá-SBJV.PRS.INDF.2.SG-ACC
lábacska	1	lábacs	lábacs-k-a	lábacs-PL-PSS3S
címe	3	cím	cím-e	N.NOM-PSS3S.SG
felhívtad	1	felhív	felhív-tad	V-IND.PST.DEF.2.SG
zsákot	3	zsák	zsák-ot	N.SG-ACC
tornázni	2	tornázik	tornáz-ni	V-NFIN
lépcső	4	lépcső	lépcső	N.NOM.SG
micimackóhoz	1	micimac	micimac-k-ó-hoz	micimac-PL-V.PTCP.PRS-AT+ALL
vendégeinek	1	vendég	vendég-ei-nek	N.NOM-PSS3S.PL-DAT
hajamat	3	haj	haj-am-at	N.SG-PSS1S-ACC
fölemeljem	1	föl	föl-em-el-jem	N.NOM-PSS1S-IND.PRS.INDF.2.SG.Ol-SBJV.PRS.DEF.1.SG
mondjuk	13	mond	mond-juk	V-IND.PRS.DEF.1.PL
nevetsz	1	nevet	nevet-sz	V-IND.PRS.INDF.2.SG.asz
délia	6	déli	déli-a	ADJ.NOM.SG-PSS3S
réten	1	rét	rét-en	N.SG-ON+ESS
csiánljunk	1	csiánl	csiánl-junk	csiánl-SBJV.PRS.INDF.1.PL
lukon	1	luk	luk-on	N.SG-ON+ESS
mondjak	2	mond	mond-jak	V-SBJV.PRS.INDF.1.SG
sebészetre	1	sebészet	sebészet-re	N.SG-ON+ALL
kutyát	36	kutya	kutya-t	N.SG-ACC
fölszáll	4	fölszáll	fölszáll	V.IND.PRS.INDF.3.SG
fölhuzni	1	fölhuz	fölhuz-ni	fölhuz-NFIN
lábáját	1	lábájá	lábájá-t	lábájá-ACC
megszúrni	1	megszúr	megszúr-ni	megszúr-NFIN
hívjak	1	hív	hív-jak	V-SBJV.PRS.INDF.1.SG
takaritani	4	takar	takar-i-t-ani	V.IND.PRS.INDF.3.SG-PSS3S.PL-ACC-NFIN
mamaikám	1	mamaiká	mamaiká-m	mamaiká-PSS1S
egereim	1	egér	egér-eim	N.NOM-PSS1S.PL
virágszedés	1	virág	virág-sz-ed-és	N.NOM-IND.PRS.INDF.2.SG.asz-PSS2S-V.MSDR
rátettem	2	rátesz	rátesz-ttem	V-IND.PST.INDF.1.SG
fodrász	13	fodrász	fodrász	N.NOM.SG
mátrafüreden	1	mátrafür	mátrafür-ed-en	mátrafür-PSS2S-ON+ESS
csiklandozom	1	csiklandoz	csiklandoz-om	csiklandoz-PSS1S
mellényt	1	mellény	mellény-t	N.SG-ACC
dugója	1	dugó	dugó-ja	N.NOM-PSS3S.SG
falatokat	1	fal	fal-atok-at	N.SG-PSS2P-ACC
uzsonnában	1	uzsonna	uzsonna-ban	N.SG-IN+ESS
lapda	1	lap	lap-d-a	N.NOM-PSS2S-PSS3S
mondana	1	mond	mond-na	V-COND.PRS.INDF.3.SG
megépítjük	2	megépí	megépí-t-jük	megépí-ACC-PSS3P
leessen	1	leesik	lees-jen	V-SBJV.PRS.INDF.3.SG
hervadt	4	hervad	hervad-t	V-IND.PST.INDF.3.SG
verte	1	ver	ver-te	V-IND.PST.DEF.3.SG
csavarogsz	1	csavarog	csavarog-sz	csavarog-IND.PRS.INDF.2.SG.asz
vérsek	1	vérs	vérs-ek	vérs-PL
almakarikát	2	almakariká	almakariká-t	almakariká-ACC
meggyógyította	1	meggyógyít	meggyógyít-otta	V-IND.PST.DEF.3.SG
üljenek	3	ül	ül-jenek	V-SBJV.PRS.INDF.3.PL
szegényt	2	szegény	szegény-t	N.SG-ACC
varjak	1	varjú	varjú-ak	N.NOM-PL
írja	1	ír	ír-ja	N.NOM-PSS3S.SG
pöcsihinta	1	pöcsih	pöcsih-i-n-ta	pöcsih-PSS3S.PL-ON+ESS-IND.PST.DEF.3.SG
kályha	1	kályha	kályha	N.NOM.SG
legyünk	3	legyünk	legyünk	N.NOM.SG
felvetted	1	felvesz	felvesz-tted	V-IND.PST.DEF.2.SG
tetted	9	tetted	tetted	N.NOM.SG
felvegye	1	felvesz	felvesz-je	V-SBJV.PRS.DEF.3.SG
kocsizunk	1	kocsiz	kocsiz-unk	kocsiz-PSS1P
szalonnát	1	szalonna	szalonna-t	N.SG-ACC
öregem	1	öreg	öreg-em	N.NOM-PSS1S.SG
tóth	1	tóth	tóth	N.NOM.SG
szereztél	1	szerez	szerez-tél	V-IND.PST.INDF.2.SG
kiabálj	6	kiabál	kiabál-j	V-SBJV.PRS.INDF.2.SG
énya	1	ény	ény-a	ény-PSS3S
nemsokára	8	nemsoká	nemsoká-ra	nemsoká-ON+ALL
szoktunk	5	szokik	szok-tunk	V-IND.PST.INDF.1.PL
hatása	1	hatás	hatás-a	N.NOM-PSS3S.SG
ülhetek	1	ülh	ülh-etek	ülh-PSS2P
kéld	1	kél	kél-d	V.IND.PRS.INDF.3.SG-PSS2S
miközben	1	miköz	miköz-ben	miköz-IN+ESS
börtön	1	börtön	börtön	N.NOM.SG
indulsz	1	indul	indul-sz	V-IND.PRS.INDF.2.SG.asz
gyógyítani	6	gyógyít	gyógyít-ani	V-NFIN
pancsizol	2	pancsiz	pancsiz-ol	pancsiz-IND.PRS.INDF.2.SG.Ol
istennek	2	isten	isten-nek	N.SG-DAT.SG
tartott	1	tart	tart-ott	V-IND.PST.INDF.3.SG
hab	5	hab	hab	N.NOM.SG
gondolkodtam	2	gondolkodik	gondolkod-tam	V-IND.PST.INDF.1.SG
kertésznadrágban	1	kertésznadrág	kertésznadrág-ban	kertésznadrág-IN+ESS
létrát	3	létra	létra-t	N.SG-ACC
vertem	1	ver	ver-tem	V-IND.PST.INDF.1.SG
hajóban	1	hajó	hajó-ban	N.SG-IN+ESS
igazítsd	2	igazít	igazít-d	V-SBJV.PRS.DEF.2.SG
legyenek	1	lesz	lesz-jenek	V-SBJV.PRS.INDF.3.PL
elveszik	3	elvesz	elvesz-ik	V-IND.PRS.DEF.3.PL.ik
fontos	4	fontos	fontos	ADJ.NOM.SG
megmoccanni	1	megmocc	megmocc-a-nni	megmocc-PSS3S-NFIN
anyukájától	1	anyukájá	anyukájá-tól	anyukájá-AT+ABL
bácsiknak	1	bácsi	bácsi-k-nak	ADJ.SG-PL-DAT
pelenkától	1	pelenka	pelenka-tól	N.SG-AT+ABL
hatodika	1	hatodika	hatodika	N.NOM.SG
legfeljebb	2	legf	legf-el-j-ebb	legf-IND.PRS.INDF.2.SG.Ol-SBJV.PRS.INDF.2.SG-CMPR
lőrincét	1	lőrinc	lőrinc-é-t	lőrinc-PSS4S-ACC
helyedre	4	hely	hely-ed-re	N.NOM-PSS2S-ON+ALL
indulhat	7	indul	indul-hat	V-POT
szedret	1	szeder	szeder-et	N.SG-ACC
néznek	3	néz	néz-nek	V-IND.PRS.INDF.3.PL
sütikét	3	süti	süti-k-é-t	N.NOM-PL-PSS4S-ACC
keményet	2	kemény	kemény-et	ADJ.SG-ACC
veszélyes	4	veszélyes	veszélyes	ADJ.NOM.SG
máma	3	má	má-m-a	má-PSS1S-PSS3S
figyeljetek	4	figyel	figyel-jetek	V-SBJV.PRS.INDF.2.PL
tokjuk	1	tok	tok-juk	N.NOM-PSS3P.SG
visszatesszük	14	visszates	visszates-sz-ük	visszates-IND.PRS.INDF.2.SG.asz-PSS3P
gúritó	2	gúr	gúr-i-t-ó	gúr-PSS3S.PL-ACC-V.PTCP.PRS
lóvat	1	lóv	lóv-at	lóv-ACC
elesett	14	elesik	eles-ett	V-IND.PST.INDF.3.SG
cumikád	1	cumiká	cumiká-d	cumiká-PSS2S
petit	1	peti	peti-t	N.SG-ACC
csavarogjunk	1	csavarog	csavarog-junk	csavarog-SBJV.PRS.INDF.1.PL
babákat	5	babá	babá-k-at	babá-PL-ACC
házikóban	6	házikó	házikó-ban	N.SG-IN+ESS
fölvesszük	10	fölves	fölves-sz-ük	fölves-IND.PRS.INDF.2.SG.asz-PSS3P
bokornál	2	bokor	bokor-nál	N.SG-AT+ESS
mén	4	mén	mén	N.NOM.SG
beleeszik	1	bele	bele-e-sz-ik	N.SG-PSS3S-IND.PRS.INDF.2.SG.asz-PSS3P.PL
fa	61	fa	fa	N.NOM.SG
piszkos	175	piszkos	piszkos	ADJ.NOM.SG
tornázok	1	tornáz	tornáz-ok	tornáz-PL
torka	4	torok	torok-a	N.NOM-PSS3S.SG
sáskahadak	1	sáskah	sáskah-ad-ak	sáskah-PSS2S.SG-PL
néninek	33	néni	néni-nek	N.SG-DAT.SG
értelmes	1	értelmes	értelmes	ADJ.NOM.SG
bagolyhoz	1	bagoly	bagoly-hoz	N.SG-AT+ALL
sajnálom	1	sajnál	sajnál-om	V-IND.PRS.DEF.1.SG
kapott	16	kap	kap-ott	V-IND.PST.INDF.3.SG
lemegyünk	5	lemegy	lemegy-ünk	V-IND.PRS.INDF.1.PL
bagolyt	1	bagoly	bagoly-t	N.NOM-ACC
kornéliusz	3	kornéliu	kornéliu-sz	kornéliu-IND.PRS.INDF.2.SG.asz
jéghidegen	1	jéghideg	jéghideg-en	ADJ.NOM.SG-ON+ESS
kakaó	26	kakaó	kakaó	N.NOM.SG
sorat	1	sora	sora-t	N.SG-ACC
beletenni	2	bele	bele-te-nni	N.SG-IND.PST.DEF.3.SG-NFIN
gyerekhez	1	gyer	gyer-ek-hez	gyer-PL-AT+ALL
dobozát	2	dobozá	dobozá-t	dobozá-ACC
volttál	1	volt	volt-tál	N.NOM-IND.PST.INDF.2.SG
mázsa	1	mázsa	mázsa	N.NOM.SG
nyulak	1	nyúl	nyúl-ak	N.NOM-PL
vesztek	1	vesz	vesz-tek	V-IND.PRS.INDF.2.PL
megcsipett	2	megcsip	megcsip-ett	megcsip-V.PTCP.PST
hajókázni	1	hajókáz	hajókáz-ni	hajókáz-NFIN
ebbe	120	eb	eb-be	N.SG-IN+ALL
olvasnivalót	2	olvasnivaló	olvasnivaló-t	N.SG-ACC
engedéljek	1	engedél	engedél-jek	engedél-SBJV.PRS.INDF.1.SG
bácsitól	15	bácsi	bácsi-tól	N.SG-AT+ABL
szedni	17	szed	szed-ni	V-NFIN
épitve	1	ép	ép-i-t-ve	ADJ.NOM.SG-PSS3S.PL-ACC-V.CVB
vesznek	4	vesz	vesz-nek	V-IND.PRS.INDF.3.PL
báci	1	bác	bác-i	bác-PSS3S.PL
miért	336	m	m-i-ért	N.NOM-PSS3S.PL-PRP
sapkája	7	sapka	sapka-ja	N.NOM-PSS3S.SG
magháza	1	magház	magház-a	magház-PSS3S
álltál	1	áll	áll-tál	V-IND.PST.INDF.2.SG
szegényke	7	szegényke	szegényke	N.NOM.SG
követ	4	követ	követ	N.NOM.SG
lábam	9	láb	láb-am	N.NOM-PSS1S.SG
lábuk	2	láb	láb-uk	N.NOM-PSS3P.SG
szádból	2	száj	száj-d-ból	N.SG-PSS2S-IN+ABL
fájul	1	fáj	fáj-ul	V-BYWAY
szúnyogháló	2	szúnyogháló	szúnyogháló	N.NOM.SG
babó	1	bab	bab-ó	N.NOM-V.PTCP.PRS
bántsuk	3	bánt	bánt-juk	V-SBJV.PRS.DEF.1.PL
szorulni	1	szorul	szorul-ni	V-NFIN
zavarodva	1	zavar	zavar-od-va	V.IND.PRS.INDF.3.SG-PSS2S-V.CVB
maradni	8	marad	marad-ni	V-NFIN
edényekben	1	edény	edény-ek-ben	N.NOM-PL-IN+ESS
ideiglenesen	1	ideiglenes	ideiglenes-en	ADJ.SG-ON+ESS
hajam	14	hajam	hajam	N.NOM.SG
térded	3	térd	térd-ed	N.NOM-PSS2S.SG
elmeséljem	3	elmesél	elmesél-jem	elmesél-SBJV.PRS.DEF.1.SG
rontsad	2	ronts	ronts-ad	ronts-PSS2S.SG
vitte	13	visz	visz-tte	V-IND.PST.DEF.3.SG
menjenek	3	megy	megy-jenek	V-SBJV.PRS.INDF.3.PL
visszamegy	9	visszamegy	visszamegy	V.IND.PRS.INDF.3.SG
sültkrumplit	4	sültkrumpl	sültkrumpl-i-t	sültkrumpl-PSS3S.PL-ACC
hagyót	1	hagy	hagy-ó-t	V.IND.PRS.INDF.3.SG-V.PTCP.PRS-ACC
megmutattod	1	megmutat	megmutat-t-od	V.IND.PRS.INDF.3.SG-ACC-PSS2S
menjetek	22	megy	megy-jetek	V-SBJV.PRS.INDF.2.PL
felemeli	3	felem	felem-el-i	N.SG-IND.PRS.INDF.2.SG.Ol-PSS3S.PL
tyúkocskát	1	tyúkocská	tyúkocská-t	tyúkocská-ACC
szedjétek	3	szed	szed-jétek	V-SBJV.PRS.DEF.2.PL
lázom	2	láz	láz-om	N.NOM-PSS1S
szájból	1	száj	száj-ból	N.SG-IN+ABL
kútágasat	1	kútágas	kútágas-at	kútágas-ACC
számoljunk	18	számol	számol-junk	V-SBJV.PRS.INDF.1.PL
beszéltél	4	beszél	beszél-tél	V-IND.PST.INDF.2.SG
tornaóra	2	torna	torna-ó-ra	N.NOM-V.PTCP.PRS-ON+ALL
lelövk	3	lelöv	lelöv-k	lelöv-PL
fáztok	1	fázik	fáz-tok	V-IND.PRS.INDF.2.PL
fülkéje	1	fülke	fülke-je	N.NOM-PSS3S.SG
csikizni	1	csikiz	csikiz-ni	csikiz-NFIN
békának	1	béka	béka-nak	N.SG-DAT.SG
mafláskodik	1	mafl	mafl-ás-k-od-ik	mafl-V.MSDR-PL-PSS2S-PSS3P.PL
sárgabajack	1	sárgabajac	sárgabajac-k	sárgabajac-PL
mitépítettetek	1	mitépí	mitépí-t-ettetek	mitépí-ACC-IND.PST.INDF.2.PL
majd	487	ma	ma-j-d	N.NOM-SBJV.PRS.INDF.2.SG-PSS2S
lekvárt	5	lekvár	lekvár-t	N.SG-ACC
fölösleges	1	fölösleges	fölösleges	ADJ.NOM.SG
engedje	2	enged	enged-je	V-SBJV.PRS.DEF.3.SG
eteted	2	etet	etet-ed	V-IND.PRS.DEF.2.SG
kicsikkel	1	kicsi	kicsi-k-k-el	ADJ.SG-PL-PL-IND.PRS.INDF.2.SG.Ol
társasjátékon	1	társasjáték	társasjáték-on	N.SG-ON+ESS
patak	5	patak	patak	N.NOM.SG
kéred	58	kér	kér-ed	V-IND.PRS.DEF.2.SG
megtalálni	4	megtalál	megtalál-ni	V-NFIN
gyeterk	1	gyeter	gyeter-k	gyeter-PL
sajt	18	sajt	sajt	N.NOM.SG
valóban	2	való	való-ban	N.SG-IN+ESS
jönne	1	jön	jön-ne	V-COND.PRS.INDF.3.SG
dinnye	17	dinnye	dinnye	N.NOM.SG
sorakozó	2	sorakozik	sorakoz-ó	V-V.PTCP.PRS
krumplidombot	1	krumplidomb	krumplidomb-ot	krumplidomb-ACC
micimackó	3	micimac	micimac-k-ó	micimac-PL-V.PTCP.PRS
hótól	1	hó	hó-tól	N.SG-AT+ABL
énekeled	1	énekel	énekel-ed	V.IND.PRS.INDF.3.SG-PSS2S
szebbet	1	szebb	szebb-et	ADJ.SG-ACC
arcad	1	arca	arca-d	N.SG-PSS2S
jajjajjajjajj	1	jaj	jaj-ja-j-ja-j-ja-j-j	N.NOM-PSS3S-SBJV.PRS.INDF.2.SG-PSS3S-SBJV.PRS.INDF.2.SG-PSS3S-SBJV.PRS.INDF.2.SG-SBJV.PRS.INDF.2.SG
feltéve	1	feltesz	feltesz-ve	V-V.CVB
végén	4	vég	vég-e-n	N.SG-PSS3S-ON+ESS
törődjetek	1	törődik	törőd-jetek	V-SBJV.PRS.INDF.2.PL
vigyük	11	visz	visz-jük	V-SBJV.PRS.DEF.1.PL
halácskát	1	halácská	halácská-t	halácská-ACC
pingponglabdát	1	pingponglabdá	pingponglabdá-t	pingponglabdá-ACC
gyerekeit	1	gyer	gyer-ek-ei-t	gyer-PL-PSS3S.PL-ACC
egyel	1	egy	egy-el	N.NOM-IND.PRS.INDF.2.SG.Ol
pelikán	2	pelikán	pelikán	N.NOM.SG
vezessük	2	vezet	vezet-jük	V-SBJV.PRS.DEF.1.PL
kövér	5	kövér	kövér	ADJ.NOM.SG
kockán	2	kocka	kocka-n	N.SG-ON+ESS
vegyék	1	vesz	vesz-jék	V-SBJV.PRS.DEF.3.PL
dobozból	1	doboz	doboz-ból	N.SG-IN+ABL
lettem	11	lett	lett-em	N.NOM-PSS1S.SG
kötenye	1	köteny	köteny-e	köteny-PSS3S
taxi	3	taxi	taxi	N.NOM.SG
ajtónál	1	ajtó	ajtó-nál	N.SG-AT+ESS
háziőzike	1	háziőz	háziőz-ik-e	háziőz-PSS3P.PL-PSS3S
gombát	2	gomba	gomba-t	N.SG-ACC
írjad	2	írja	írja-d	N.SG-PSS2S
bújok	1	bújik	búj-ok	V-IND.PRS.INDF.1.SG
romolva	4	romlik	roml-va	V-V.CVB
viccelj	3	viccel	viccel-j	V-SBJV.PRS.INDF.2.SG
megkeressem	3	megkeres	megkeres-jem	V-SBJV.PRS.DEF.1.SG
fazékból	1	fazék	fazék-ból	N.SG-IN+ABL
húzzuk	8	húz	húz-juk	V-IND.PRS.DEF.1.PL
dereka	2	derék	derék-a	N.NOM-PSS3S.SG
mindannyian	1	mindanny	mindanny-i-a-n	mindanny-PSS3S.PL-PSS3S-ON+ESS
gyógyított	1	gyógyít	gyógyít-ott	V-IND.PST.INDF.3.SG
tigrist	1	tigris	tigris-t	N.SG-ACC
kemény	9	kemény	kemény	ADJ.NOM.SG
csimpánz	1	csimpánz	csimpánz	N.NOM.SG
toront	1	tor	tor-on-t	N.NOM-ON+ESS-ACC
tartod	4	tart	tart-od	V-IND.PRS.DEF.2.SG
első	3	első	első	N.NOM.SG
korlátokat	1	korlát	korlát-ok-at	N.NOM-PL-ACC
szőlő	5	szőlő	szőlő	N.NOM.SG
megnézegetted	1	megnézeg	megnézeg-etted	megnézeg-IND.PST.DEF.2.SG
beleestem	6	belees	belees-tem	belees-IND.PST.DEF.1.SG
hasát	11	has	has-a-t	N.SG-PSS3S-ACC
bár	4	bár	bár	N.NOM.SG
paradicsom	11	paradicsom	paradicsom	N.NOM.SG
menj	96	megy	megy-j	V-SBJV.PRS.INDF.2.SG
leszórtál	1	leszór	leszór-tál	leszór-IND.PST.INDF.2.SG
aludj	7	alszik	alud-j	V-SBJV.PRS.INDF.2.SG
letesszük	1	letesz	letesz-jük	V-IND.PRS.DEF.1.PL
megszállok	1	megszáll	megszáll-ok	megszáll-PL
felejtették	1	felejt	felejt-ették	V-IND.PST.DEF.3.PL
gombot	3	gomb	gomb-ot	N.SG-ACC
versenyautódnak	1	versenyautó	versenyautó-d-nak	N.NOM-PSS2S-DAT
raktár	2	raktár	raktár	N.NOM.SG
száraz	12	száraz	száraz	ADJ.NOM.SG
eldönteni	1	eldönt	eldönt-eni	V-NFIN
lacit	7	laci	laci-t	N.SG-ACC
felöltözöl	1	felöltözik	felöltöz-öl	V-IND.PRS.INDF.2.SG.Ol
mondok	5	mond	mond-ok	V-IND.PRS.INDF.1.SG
kimentem	1	kimegy	kimegy-tem	V-IND.PST.INDF.1.SG
hozlak	1	hoz	hoz-lak	V-IND.PRS.LGSPEC1.1.SG
gondolok	1	gondol	gondol-ok	V-IND.PRS.INDF.1.SG
kisfiacskám	1	kisfiacská	kisfiacská-m	kisfiacská-PSS1S
karika	5	karika	karika	N.NOM.SG
kisbabára	1	kisbaba	kisbaba-ra	N.SG-ON+ALL
mögé	9	mög	mög-é	mög-PSS4S
fogat	1	fogat	fogat	N.NOM.SG
szégyent	1	szégyen	szégyen-t	N.SG-ACC
eszik	41	esz	esz-ik	N.NOM-PSS3P.PL
ágat	1	ág	ág-at	N.SG-ACC
mami	2	ma	ma-m-i	N.NOM-PSS1S-PSS3S.PL
levesszünk	1	leves	leves-sz-ünk	N.NOM-IND.PRS.INDF.2.SG.asz-PSS1P
ördögnek	2	ördög	ördög-nek	N.SG-DAT.SG
fizetni	5	fizet	fizet-ni	V-NFIN
szopogatni	1	szopog	szopog-at-ni	szopog-ACC-NFIN
leesett	96	leesik	lees-ett	V-IND.PST.INDF.3.SG
magáé	1	magá	magá-é	magá-PSS4S
talicskázni	1	talicskáz	talicskáz-ni	talicskáz-NFIN
föltetted	1	föl	föl-t-etted	N.NOM-ACC-IND.PST.DEF.2.SG
hajó	62	hajó	hajó	N.NOM.SG
barlangba	5	barlang	barlang-ba	N.SG-IN+ALL
visszateszem	8	vissza	vissza-te-sz-em	N.NOM-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG.asz-PSS1S
mkike	1	m	m-k-ik-e	N.NOM-PL-PSS3P.PL-PSS3S
zabtojás	1	zabto	zabto-j-ás	zabto-SBJV.PRS.INDF.2.SG-V.MSDR
lábast	2	lábas	lábas-t	N.SG-ACC
picit	93	pici	pici-t	N.SG-ACC
aludnék	1	alszik	alud-nék	V-COND.PRS.INDF.1.SG
leszáll	6	leszáll	leszáll	V.IND.PRS.INDF.3.SG
szemetek	2	szem	szem-etek	N.NOM-PSS2P.SG
