SF	Freq	Lemma	Segmentation	Analysis
óvoda	2	óvoda	óvoda	N.NOM.SG
állót	1	álló	álló-t	ADJ.SG-ACC
csendben	3	csend	csend-ben	N.SG-IN+ESS
megnéztem	4	megnéz	megnéz-tem	V-IND.PST.INDF.1.SG
felírom	1	felír	felír-om	V-IND.PRS.DEF.1.SG
vonatunk	3	vonat	vonat-unk	N.NOM-PSS1P.SG
kapcsoljunk	3	kapcsol	kapcsol-junk	V-SBJV.PRS.INDF.1.PL
gépel	2	gépel	gépel	V.IND.PRS.INDF.3.SG
kitalálom	2	kitalál	kitalál-om	V-IND.PRS.DEF.1.SG
rontani	9	ront	ront-ani	V-NFIN
delfinnél	1	delfin	delfin-nél	N.SG-AT+ESS
nyulat	2	nyúl	nyúl-at	N.SG-ACC
megértetted	4	megért	megért-etted	V-IND.PST.DEF.2.SG
mellény	1	mellény	mellény	N.NOM.SG
rakta	2	rak	rak-ta	V-IND.PST.DEF.3.SG
elindítjuk	1	elindít	elindít-juk	V-IND.PRS.DEF.1.PL
gyógyszerrel	1	gyógyszer	gyógyszer-vel	N.SG-INST
köszönöm	352	köszön	köszön-öm	V-IND.PRS.DEF.1.SG
spájzba	8	spájz	spájz-ba	N.SG-IN+ALL
kék	65	kék	kék	N.NOM.SG
kezünk	4	kéz	kéz-ünk	N.NOM-PSS1P.SG
lenyelik	1	lenyel	lenyel-ik	V-IND.PRS.DEF.3.PL.ik
levit	4	levi	levi-t	N.SG-ACC
asztalnál	8	asztal	asztal-nál	N.SG-AT+ESS
füzetben	1	füzet	füzet-ben	N.SG-IN+ESS
maradnak	2	marad	marad-nak	V-IND.PRS.INDF.3.PL
seper	6	seper	seper	V.IND.PRS.INDF.3.SG
recsegett	2	recseg	recseg-ett	V-IND.PST.INDF.3.SG
rakunk	5	rak	rak-unk	V-IND.PRS.INDF.1.PL
elhúzta	1	elhúz	elhúz-ta	V-IND.PST.DEF.3.SG
pipa	19	pipa	pipa	N.NOM.SG
visszaadjuk	2	visszaad	visszaad-juk	V-IND.PRS.DEF.1.PL
felhívtad	1	felhív	felhív-tad	V-IND.PST.DEF.2.SG
pénztárcát	1	pénztárca	pénztárca-t	N.SG-ACC
hajába	2	haj	haj-a-ba	N.SG-PSS3S-IN+ALL
eszed	4	eszed	eszed	N.NOM.SG
poharat	25	pohár	pohár-at	N.SG-ACC
rátettem	2	rátesz	rátesz-ttem	V-IND.PST.INDF.1.SG
dunába	17	duna	duna-ba	N.SG-IN+ALL
ravaszul	1	ravasz	ravasz-ul	ADJ.SG-BYWAY
ládából	2	láda	láda-ból	N.SG-IN+ABL
tanultad	1	tanul	tanul-tad	V-IND.PST.DEF.2.SG
bezárt	4	bezár	bezár-t	V-IND.PST.INDF.3.SG
nehéz	39	nehéz	nehéz	N.NOM.SG
megcsinálni	15	megcsinál	megcsinál-ni	V-NFIN
csengő	2	csengő	csengő	N.NOM.SG
villával	2	villa	villa-val	N.SG-INST
veszekedtek	1	veszekedik	veszeked-tek	V-IND.PRS.INDF.2.PL
szoba	15	szoba	szoba	N.NOM.SG
dolgoztak	1	dolgozik	dolgoz-tak	V-IND.PST.INDF.3.PL
első	3	első	első	N.NOM.SG
feküdni	15	fekszik	feküd-ni	V-NFIN
bántod	2	bánt	bánt-od	V-IND.PRS.DEF.2.SG
pelenka	11	pelenka	pelenka	N.NOM.SG
figyel	2	figyel	figyel	V.IND.PRS.INDF.3.SG
énekeljünk	3	énekel	énekel-jünk	V-SBJV.PRS.INDF.1.PL
fizetem	1	fizet	fizet-em	V-IND.PRS.DEF.1.SG
lapozol	2	lapoz	lapoz-ol	V-IND.PRS.INDF.2.SG.Ol
ecset	2	ecset	ecset	N.NOM.SG
veszek	36	vesz	vesz-ek	V-IND.PRS.INDF.1.SG
lyukat	6	lyuk	lyuk-at	N.SG-ACC
héját	17	héj	héj-a-t	N.SG-PSS3S-ACC
jöttél	18	jön	jön-ttél	V-IND.PST.INDF.2.SG
rajzolnak	2	rajzol	rajzol-nak	V-IND.PRS.INDF.3.PL
ebből	24	eb	eb-ből	N.SG-IN+ABL
gyógyultál	1	gyógyul	gyógyul-tál	V-IND.PST.INDF.2.SG
magnóban	2	magnó	magnó-ban	N.SG-IN+ESS
p	4	p	p	N.NOM.SG
kisbabáknak	1	kisbaba	kisbaba-k-nak	N-PL-DAT.SG
kértél	2	kér	kér-tél	V-IND.PST.INDF.2.SG
ifjú	1	ifjú	ifjú	N.NOM.SG
bekenjük	19	beken	beken-jük	V-IND.PRS.DEF.1.PL
hozlak	1	hoz	hoz-lak	V-IND.PRS.LGSPEC1.1.SG
kihúzott	1	kihúz	kihúz-ott	V-IND.PST.INDF.3.SG
gyanúm	1	gyanú	gyanú-m	N.NOM-PSS1S.SG
darázs	1	darázs	darázs	N.NOM.SG
kemény	9	kemény	kemény	ADJ.NOM.SG
izénél	1	izé	izé-nél	N.SG-AT+ESS
lemaradt	1	lemarad	lemarad-t	V-IND.PST.INDF.3.SG
papucsot	38	papucs	papucs-ot	N.SG-ACC
oldalnak	1	oldal	oldal-nak	N.SG-DAT.SG
párizsban	1	párizs	párizs-ban	N.SG-IN+ESS
autók	5	autó	autó-k	N.NOM-PL
kipróbálja	1	kipróbál	kipróbál-ja	V-IND.PRS.DEF.3.SG
lesztek	2	lesz	lesz-tek	V-IND.PRS.INDF.2.PL
bilire	8	bili	bili-re	N.SG-ON+ALL
látja	9	lát	lát-ja	V-IND.PRS.DEF.3.SG
halljam	1	hall	hall-jam	V-SBJV.PRS.DEF.1.SG
pakolja	1	pakol	pakol-ja	V-IND.PRS.DEF.3.SG
bot	9	bot	bot	N.NOM.SG
eldőljön	1	eldől	eldől-jön	V-SBJV.PRS.INDF.3.SG
kapcsoljuk	12	kapcsol	kapcsol-juk	V-IND.PRS.DEF.1.PL
traktorral	1	traktor	traktor-val	N.SG-INST
tegyek	11	tesz	tesz-jek	V-SBJV.PRS.INDF.1.SG
nagymamánál	1	nagymama	nagymama-nál	N.SG-AT+ESS
bújva	2	bújik	búj-va	V-V.CVB
szádat	6	száj	száj-d-at	N.SG-PSS2S-ACC
pestre	1	pest	pest-re	N.SG-ON+ALL
másszatok	1	mászik	mász-jatok	V-SBJV.PRS.INDF.2.PL
kalapácsom	4	kalapács	kalapács-om	N.NOM-PSS1S.SG
levesz	1	levesz	levesz	V.IND.PRS.INDF.3.SG
elindultak	1	elindul	elindul-tak	V-IND.PST.INDF.3.PL
szobába	61	szoba	szoba-ba	N.SG-IN+ALL
esőfelhő	1	esőfelhő	esőfelhő	N.NOM.SG
puszilnod	2	puszil	puszil-nod	V-NFIN.2.SG
piacon	3	piac	piac-on	N.SG-ON+ESS
felejtették	1	felejt	felejt-ették	V-IND.PST.DEF.3.PL
ebédelek	5	ebédel	ebédel-ek	V-IND.PRS.INDF.1.SG
megfoglak	5	megfog	megfog-lak	V-IND.PRS.LGSPEC1.1.SG
ólomkatonával	1	ólomkatona	ólomkatona-val	N.SG-INST
kapcsolni	6	kapcsol	kapcsol-ni	V-NFIN
nyuszik	2	nyuszi	nyuszi-k	N.NOM-PL
levéllel	1	levél	levél-vel	N.SG-INST
szeretnek	4	szeret	szeret-nek	V-IND.PRS.INDF.3.PL
színházban	2	színház	színház-ban	N.SG-IN+ESS
okozott	1	okoz	okoz-ott	V-IND.PST.INDF.3.SG
fizetést	1	fizetés	fizetés-t	N.SG-ACC
evés	4	evés	evés	N.NOM.SG
agy	2	agy	agy	N.NOM.SG
hallgassunk	1	hallgat	hallgat-junk	V-SBJV.PRS.INDF.1.PL
elég	94	elég	elég	N.NOM.SG
folytassam	1	folytat	folytat-jam	V-SBJV.PRS.DEF.1.SG
kókuszdióval	1	kókuszdió	kókuszdió-val	N.SG-INST
nyissuk	7	nyit	nyit-juk	V-SBJV.PRS.DEF.1.PL
mese	7	mese	mese	N.NOM.SG
mikrofont	4	mikrofon	mikrofon-t	N.SG-ACC
villára	1	villa	villa-ra	N.SG-ON+ALL
bánunk	1	bán	bán-unk	N.NOM-PSS1P.SG
almának	2	alom	alom-a-nak	N.SG-PSS3S-DAT.SG
készítjük	2	készít	készít-jük	V-IND.PRS.DEF.1.PL
bedobom	2	bedob	bedob-om	V-IND.PRS.DEF.1.SG
takarózz	3	takarózik	takaróz-j	V-SBJV.PRS.INDF.2.SG
tánc	2	tánc	tánc	N.NOM.SG
szerencsétlenség	1	szerencsétlenség	szerencsétlenség	N.NOM.SG
rajzolnék	1	rajzol	rajzol-nék	V-COND.PRS.INDF.1.SG
nyakon	1	nyak	nyak-on	N.SG-ON+ESS
kincset	1	kincs	kincs-et	N.SG-ACC
képek	4	kép	kép-ek	N.NOM-PL
csoportba	1	csoport	csoport-ba	N.SG-IN+ALL
harisnyába	1	harisnya	harisnya-ba	N.SG-IN+ALL
telefonál	7	telefonál	telefonál	V.IND.PRS.INDF.3.SG
veszni	2	vész	vész-ni	V-NFIN
teríts	2	terít	terít-j	V-SBJV.PRS.INDF.2.SG
kellemes	1	kellemes	kellemes	ADJ.NOM.SG
állvány	1	állvány	állvány	N.NOM.SG
látták	1	lát	lát-ták	V-IND.PST.DEF.3.PL
zseb	3	zseb	zseb	N.NOM.SG
kandalló	2	kandalló	kandalló	N.NOM.SG
sziklán	1	szikla	szikla-n	N.SG-ON+ESS
kiemellek	1	kiemel	kiemel-lek	V-IND.PRS.LGSPEC1.1.SG
felöltözünk	2	felöltözik	felöltöz-ünk	V-IND.PRS.INDF.1.PL
megvizsgállak	1	megvizsgál	megvizsgál-lak	V-IND.PRS.LGSPEC1.1.SG
fára	26	fa	fa-ra	N.SG-ON+ALL
fektesd	2	fektet	fektet-d	V-SBJV.PRS.DEF.2.SG
elrejt	1	elrejt	elrejt	V.IND.PRS.INDF.3.SG
elbújnak	1	elbújik	elbúj-nak	V-IND.PRS.INDF.3.PL
csúnyaság	2	csúnyaság	csúnyaság	N.NOM.SG
alacsonyak	1	alacsony	alacsony-ak	ADJ.NOM-PL
láz	1	láz	láz	N.NOM.SG
hattyú	2	hattyú	hattyú	N.NOM.SG
dere	30	dér	dér-e	N.NOM-PSS3S.SG
nyafog	1	nyafog	nyafog	V.IND.PRS.INDF.3.SG
meggyógyítsuk	2	meggyógyít	meggyógyít-juk	V-SBJV.PRS.DEF.1.PL
elrontja	3	elront	elront-ja	V-IND.PRS.DEF.3.SG
szórtál	1	szór	szór-tál	V-IND.PST.INDF.2.SG
nyakát	1	nyak	nyak-a-t	N.SG-PSS3S-ACC
tükröt	1	tükör	tükör-öt	N.SG-ACC
becsukjuk	8	becsuk	becsuk-juk	V-IND.PRS.DEF.1.PL
sült	23	sült	sült	N.NOM.SG
kerül	4	kerül	kerül	V.IND.PRS.INDF.3.SG
vacsorázunk	3	vacsorázik	vacsoráz-unk	V-IND.PRS.INDF.1.PL
vegyelek	3	vesz	vesz-jelek	V-SBJV.PRS.LGSPEC1.1.SG
homokozóba	8	homokozó	homokozó-ba	N.SG-IN+ALL
puszild	2	puszil	puszil-d	V-SBJV.PRS.DEF.2.SG
találom	5	talál	talál-om	V-IND.PRS.DEF.1.SG
tojásban	2	tojás	tojás-ban	N.SG-IN+ESS
simogass	1	simogat	simogat-j	V-SBJV.PRS.INDF.2.SG
tányérja	1	tányér	tányér-ja	N.NOM-PSS3S.SG
zoli	596	zoli	zoli	N.NOM.SG
letenni	5	letesz	letesz-nni	V-NFIN
tegyétek	2	tesz	tesz-jétek	V-SBJV.PRS.DEF.2.PL
gyógyítsam	2	gyógyít	gyógyít-jam	V-SBJV.PRS.DEF.1.SG
több	32	több	több	N.NOM.SG
szemétbe	8	szemét	szemét-be	N.SG-IN+ALL
táskája	3	táska	táska-ja	N.NOM-PSS3S.SG
lépcső	4	lépcső	lépcső	N.NOM.SG
ír	23	ír	ír	N.NOM.SG
gyúrjuk	1	gyúr	gyúr-juk	V-IND.PRS.DEF.1.PL
olvadni	1	olvad	olvad-ni	V-NFIN
megverni	1	megver	megver-ni	V-NFIN
kukorica	7	kukorica	kukorica	N.NOM.SG
potyka	12	potyka	potyka	N.NOM.SG
balatonra	7	balaton	balaton-ra	N.SG-ON+ALL
valók	2	való	való-k	N.NOM-PL
szép	575	szép	szép	ADJ.NOM.SG
pucold	2	pucol	pucol-d	V-SBJV.PRS.DEF.2.SG
melle	1	mell	mell-e	N.NOM-PSS3S.SG
macska	14	macska	macska	N.NOM.SG
kavarjuk	1	kavar	kavar-juk	V-IND.PRS.DEF.1.PL
szomorú	51	szomorú	szomorú	ADJ.NOM.SG
benézel	1	benéz	benéz-el	V-IND.PRS.INDF.2.SG.Ol
tűzhelyen	1	tűzhely	tűzhely-en	N.SG-ON+ESS
monitort	1	monitor	monitor-t	N.SG-ACC
hívjuk	2	hív	hív-juk	V-IND.PRS.DEF.1.PL
helyem	1	hely	hely-em	N.NOM-PSS1S.SG
pacit	1	paci	paci-t	N.SG-ACC
ajándék	1	ajándék	ajándék	N.NOM.SG
elvetted	3	elvesz	elvesz-tted	V-IND.PST.DEF.2.SG
szedtél	1	szed	szed-tél	V-IND.PST.INDF.2.SG
állathoz	1	állat	állat-hoz	N.SG-AT+ALL
foci	3	foci	foci	N.NOM.SG
megengeded	2	megenged	megenged-ed	V-IND.PRS.DEF.2.SG
való	54	való	való	N.NOM.SG
párna	48	párna	párna	N.NOM.SG
egyenek	3	egyen	egyen-ek	N.NOM-PL
esz	11	esz	esz	N.NOM.SG
fogjam	3	fog	fog-jam	V-SBJV.PRS.DEF.1.SG
tönkreteszed	1	tönkretesz	tönkretesz-ed	V-IND.PRS.DEF.2.SG
rozmárok	1	rozmár	rozmár-ok	N.NOM-PL
kiscsikó	2	kiscsikó	kiscsikó	N.NOM.SG
lemosni	2	lemos	lemos-ni	V-NFIN
aranyosak	5	aranyos	aranyos-ak	ADJ.NOM-PL
napot	20	nap	nap-ot	N.SG-ACC
álljatok	3	áll	áll-jatok	V-SBJV.PRS.INDF.2.PL
poharad	1	pohár	pohár-ad	N.NOM-PSS2S.SG
copfod	1	copf	copf-od	N.NOM-PSS2S.SG
apára	2	apa	apa-ra	N.SG-ON+ALL
sok	245	sok	sok	ADJ.NOM.SG
szépen	495	szép	szép-en	ADJ.SG-ON+ESS
csavarni	1	csavar	csavar-ni	V-NFIN
padhoz	1	pad	pad-hoz	N.SG-AT+ALL
ennél	3	enn	enn-nél	N.SG-AT+ESS
fért	3	fér	fér-t	V-IND.PST.INDF.3.SG
látogassák	2	látogat	látogat-ják	V-SBJV.PRS.DEF.3.PL
állomásban	1	állomás	állomás-ban	N.SG-IN+ESS
kormányt	2	kormány	kormány-t	N.SG-ACC
gomb	39	gomb	gomb	N.NOM.SG
frizura	1	frizura	frizura	N.NOM.SG
jöjj	2	jön	jön-j	V-SBJV.PRS.INDF.2.SG
krumplival	1	krumpli	krumpli-val	N.SG-INST
felmászik	3	felmászik	felmászik	V.IND.PRS.INDF.3.SG
lejjebb	2	lenn	lenn-ebb	ADJ.NOM.SG-CMPR
megmutatni	6	megmutat	megmutat-ni	V-NFIN
marika	2	marika	marika	N.NOM.SG
állva	4	áll	áll-va	V-V.CVB
fektessünk	2	fektet	fektet-jünk	V-SBJV.PRS.INDF.1.PL
megbeszéljük	1	megbeszél	megbeszél-jük	V-IND.PRS.DEF.1.PL
hasát	11	has	has-a-t	N.SG-PSS3S-ACC
testvérei	1	testvér	testvér-ei	N.NOM-PSS3S.PL
építi	1	épít	épít-i	V-IND.PRS.DEF.3.SG.i
lapáttal	9	lapát	lapát-val	N.SG-INST
másztál	3	mászik	mász-tál	V-IND.PST.INDF.2.SG
várd	3	vár	vár-d	V-SBJV.PRS.DEF.2.SG
sátorban	4	sátor	sátor-ban	N.SG-IN+ESS
csibéje	1	csibe	csibe-je	N.NOM-PSS3S.SG
tegyen	1	tesz	tesz-jen	V-SBJV.PRS.INDF.3.SG
mellé	17	mell	mell-vé	N.SG-TRANS
buták	7	buta	buta-k	ADJ.NOM-PL
dugd	26	dug	dug-d	V-SBJV.PRS.DEF.2.SG
harisnya	4	harisnya	harisnya	N.NOM.SG
akartál	5	akar	akar-tál	V-IND.PST.INDF.2.SG
csoportnál	2	csoport	csoport-nál	N.SG-AT+ESS
zöldséget	7	zöldség	zöldség-et	N.SG-ACC
tornázzunk	1	tornázik	tornáz-junk	V-SBJV.PRS.INDF.1.PL
kapcsolva	12	kapcsol	kapcsol-va	V-V.CVB
lesett	2	les	les-ett	V-IND.PST.INDF.3.SG
békának	1	béka	béka-nak	N.SG-DAT.SG
beverje	1	bever	bever-je	V-SBJV.PRS.DEF.3.SG
tudom	445	tud	tud-om	V-IND.PRS.DEF.1.SG
piszkos	175	piszkos	piszkos	ADJ.NOM.SG
színészek	1	színész	színész-ek	N.NOM-PL
harmadik	6	harmadik	harmadik	N.NOM.SG
felejtette	1	felejt	felejt-ette	V-IND.PST.DEF.3.SG
halló	58	hall	hall-ó	V-V.PTCP.PRS
beszéljünk	2	beszél	beszél-jünk	V-SBJV.PRS.INDF.1.PL
kiabált	8	kiabál	kiabál-t	V-IND.PST.INDF.3.SG
ragasztót	1	ragasztó	ragasztó-t	N.SG-ACC
csúszda	11	csúszda	csúszda	N.NOM.SG
teherautó	20	teherautó	teherautó	N.NOM.SG
nézzük	118	néz	néz-jük	V-IND.PRS.DEF.1.PL
nyolcadik	6	nyolcadik	nyolcadik	N.NOM.SG
babánál	1	baba	baba-nál	N.SG-AT+ESS
mozdonnyal	1	mozdony	mozdony-val	N.SG-INST
ebédelnek	4	ebédel	ebédel-nek	V-IND.PRS.INDF.3.PL
megtalállak	1	megtalál	megtalál-lak	V-IND.PRS.LGSPEC1.1.SG
bari	1	bari	bari	N.NOM.SG
erre	62	err	err-re	N.SG-ON+ALL
rosszak	3	rossz	rossz-ak	N.NOM-PL
közepes	1	közepes	közepes	N.NOM.SG
nézegeti	5	nézeget	nézeget-i	V-IND.PRS.DEF.3.SG.i
mókussal	1	mókus	mókus-val	N.SG-INST
tamás	7	tamás	tamás	N.NOM.SG
tudtad	6	tud	tud-tad	V-IND.PST.DEF.2.SG
szandálod	2	szandál	szandál-od	N.NOM-PSS2S.SG
szálljunk	1	száll	száll-junk	V-SBJV.PRS.INDF.1.PL
rakni	42	rak	rak-ni	V-NFIN
tanuljunk	1	tanul	tanul-junk	V-SBJV.PRS.INDF.1.PL
nadrág	17	nadrág	nadrág	N.NOM.SG
nyuszid	2	nyuszi	nyuszi-d	N.NOM-PSS2S.SG
tyúk	8	tyúk	tyúk	N.NOM.SG
szék	124	szék	szék	N.NOM.SG
lett	84	lett	lett	N.NOM.SG
szoktunk	5	szokik	szok-tunk	V-IND.PST.INDF.1.PL
papírt	14	papír	papír-t	N.SG-ACC
kaptátok	2	kap	kap-tátok	V-IND.PST.DEF.2.PL
tavaszon	2	tavasz	tavasz-on	N.SG-ON+ESS
egyen	14	egy	egy-en	N.SG-ON+ESS
mondták	3	mond	mond-ták	V-IND.PST.DEF.3.PL
kórház	4	kórház	kórház	N.NOM.SG
menünk	8	menü	menü-nk	N.NOM-PSS1P.SG
szemüvegem	4	szemüveg	szemüveg-em	N.NOM-PSS1S.SG
leestem	4	leesik	lees-tem	V-IND.PST.INDF.1.SG
kaput	3	kapu	kapu-t	N.SG-ACC
nézik	2	néz	néz-ik	V-IND.PRS.DEF.3.PL.ik
nyelvem	1	nyelv	nyelv-em	N.NOM-PSS1S.SG
kiáltják	1	kiált	kiált-ják	V-IND.PRS.DEF.3.PL
hülyeséget	2	hülyeség	hülyeség-et	N.SG-ACC
fehéren	1	fehér	fehér-en	N.SG-ON+ESS
ügyesek	3	ügyes	ügyes-ek	ADJ.NOM-PL
felejtik	2	felejt	felejt-ik	V-IND.PRS.DEF.3.PL.ik
bélyeg	2	bélyeg	bélyeg	N.NOM.SG
napszemüveg	1	napszemüveg	napszemüveg	N.NOM.SG
tegyem	15	tesz	tesz-jem	V-SBJV.PRS.DEF.1.SG
veszekedjünk	2	veszekedik	veszeked-jünk	V-SBJV.PRS.INDF.1.PL
szólunk	2	szól	szól-unk	V-IND.PRS.INDF.1.PL
dezodort	1	dezodor	dezodor-t	N.SG-ACC
kapun	1	kapu	kapu-n	N.SG-ON+ESS
cukrot	8	cukor	cukor-ot	N.SG-ACC
hasam	8	has	has-am	N.NOM-PSS1S.SG
kellett	13	kell	kell-ett	V-IND.PST.INDF.3.SG
csúszdán	1	csúszda	csúszda-n	N.SG-ON+ESS
hógolyó	7	hógolyó	hógolyó	N.NOM.SG
kacag	1	kacag	kacag	V.IND.PRS.INDF.3.SG
lábán	7	láb	láb-a-n	N.SG-PSS3S-ON+ESS
kocsinak	1	kocsi	kocsi-nak	N.SG-DAT.SG
hajód	1	hajó	hajó-d	N.NOM-PSS2S.SG
érdekesek	1	érdekes	érdekes-ek	ADJ.NOM-PL
kopogunk	2	kopog	kopog-unk	V-IND.PRS.INDF.1.PL
vegyük	45	vesz	vesz-jük	V-SBJV.PRS.DEF.1.PL
hem	1	hem	hem	N.NOM.SG
törve	11	tör	tör-ve	V-V.CVB
levegyek	1	levesz	levesz-jek	V-SBJV.PRS.INDF.1.SG
szigetben	2	sziget	sziget-ben	N.SG-IN+ESS
vitted	1	visz	visz-tted	V-IND.PST.DEF.2.SG
mosod	2	mos	mos-od	V-IND.PRS.DEF.2.SG
narancsot	4	narancs	narancs-ot	N.SG-ACC
mássz	14	mászik	mász-j	V-SBJV.PRS.INDF.2.SG
kékek	1	kék	kék-ek	N.NOM-PL
megtalálni	4	megtalál	megtalál-ni	V-NFIN
altasd	1	altat	altat-d	V-SBJV.PRS.DEF.2.SG
befejezzük	4	befejez	befejez-jük	V-IND.PRS.DEF.1.PL
táncolni	15	táncol	táncol-ni	V-NFIN
csere	1	csere	csere	N.NOM.SG
bimbók	2	bimbó	bimbó-k	N.NOM-PL
sapka	15	sapka	sapka	N.NOM.SG
haj	6	haj	haj	N.NOM.SG
dombra	2	domb	domb-ra	N.SG-ON+ALL
katica	2	katica	katica	N.NOM.SG
karddal	8	kard	kard-val	N.SG-INST
felteszem	2	feltesz	feltesz-em	V-IND.PRS.DEF.1.SG
szoktak	3	szokik	szok-tak	V-IND.PST.INDF.3.PL
dongó	9	dongó	dongó	N.NOM.SG
meghalt	23	meghal	meghal-t	V-IND.PST.INDF.3.SG
bilik	1	bili	bili-k	N.NOM-PL
szunnyad	1	szunnyad	szunnyad	V.IND.PRS.INDF.3.SG
árul	3	árul	árul	V.IND.PRS.INDF.3.SG
marci	3	marci	marci	N.NOM.SG
tanult	2	tanul	tanul-t	V-IND.PST.INDF.3.SG
készítenek	1	készít	készít-enek	V-IND.PRS.INDF.3.PL
kihúzta	1	kihúz	kihúz-ta	V-IND.PST.DEF.3.SG
lenniük	1	lesz	lesz-niük	V-NFIN.3.PL
hallgat	3	hallgat	hallgat	V.IND.PRS.INDF.3.SG
megcsinálom	31	megcsinál	megcsinál-om	V-IND.PRS.DEF.1.SG
tisztát	1	tiszta	tiszta-t	N.SG-ACC
öregek	1	öreg	öreg-ek	N.NOM-PL
kérdezzétek	1	kérdez	kérdez-jétek	V-SBJV.PRS.DEF.2.PL
harapnak	2	harap	harap-nak	V-IND.PRS.INDF.3.PL
padra	1	pad	pad-ra	N.SG-ON+ALL
mérges	31	mérges	mérges	ADJ.NOM.SG
tolom	4	tol	tol-om	V-IND.PRS.DEF.1.SG
vették	1	vesz	vesz-tték	V-IND.PST.DEF.3.PL
babakocsiba	4	babakocsi	babakocsi-ba	N.SG-IN+ALL
engedékeny	1	engedékeny	engedékeny	ADJ.NOM.SG
kosárból	1	kosár	kosár-ból	N.SG-IN+ABL
dobott	4	dob	dob-ott	V-IND.PST.INDF.3.SG
kerek	5	kerek	kerek	ADJ.NOM.SG
főzőkanál	3	főzőkanál	főzőkanál	N.NOM.SG
krémmel	3	krém	krém-vel	N.SG-INST
lebeg	2	lebeg	lebeg	V.IND.PRS.INDF.3.SG
vízfesték	1	vízfesték	vízfesték	N.NOM.SG
érdekeset	1	érdekes	érdekes-et	ADJ.SG-ACC
foglalkozása	2	foglalkozás	foglalkozás-a	N.NOM-PSS3S.SG
szeretném	18	szeret	szeret-ném	V-COND.PRS.DEF.1.SG
társaság	1	társaság	társaság	N.NOM.SG
szaladjunk	3	szalad	szalad-junk	V-SBJV.PRS.INDF.1.PL
sár	3	sár	sár	N.NOM.SG
virágot	80	virág	virág-ot	N.SG-ACC
pingpong	2	pingpong	pingpong	N.NOM.SG
simogassunk	2	simogat	simogat-junk	V-SBJV.PRS.INDF.1.PL
legyek	2	légy	légy-ek	N.NOM-PL
rádió	36	rádió	rádió	N.NOM.SG
paradicsomot	4	paradicsom	paradicsom-ot	N.SG-ACC
rázd	5	ráz	ráz-d	V-SBJV.PRS.DEF.2.SG
megmutattuk	1	megmutat	megmutat-tuk	V-IND.PST.DEF.1.PL
fejedbe	1	fej	fej-ed-be	N.SG-PSS2S-IN+ALL
kirakom	1	kirak	kirak-om	V-IND.PRS.DEF.1.SG
kiló	2	kiló	kiló	N.NOM.SG
háza	13	ház	ház-a	N.NOM-PSS3S.SG
beszélj	22	beszél	beszél-j	V-SBJV.PRS.INDF.2.SG
megijedt	3	megijed	megijed-t	V-IND.PST.INDF.3.SG
szerencse	3	szerencse	szerencse	N.NOM.SG
felvételen	10	felvétel	felvétel-en	N.SG-ON+ESS
hagyjam	1	hagy	hagy-jam	V-SBJV.PRS.DEF.1.SG
szél	31	szél	szél	N.NOM.SG
tányérral	2	tányér	tányér-val	N.SG-INST
cipót	2	cipó	cipó-t	N.SG-ACC
borsót	6	borsó	borsó-t	N.SG-ACC
lelövi	1	lelő	lelő-i	V-IND.PRS.DEF.3.SG.i
elárulja	1	elárul	elárul-ja	V-IND.PRS.DEF.3.SG
aljára	1	alj	alj-a-ra	N.SG-PSS3S-ON+ALL
sakktábláról	1	sakktábla	sakktábla-ról	N.SG-ON+ABL
kinézek	2	kinéz	kinéz-ek	V-IND.PRS.INDF.1.SG
mohó	1	mohó	mohó	ADJ.NOM.SG
térde	5	térd	térd-e	N.NOM-PSS3S.SG
barátaim	2	barát	barát-aim	N.NOM-PSS1S.PL
sárgarépából	1	sárgarépa	sárgarépa-ból	N.SG-IN+ABL
könnyet	1	könny	könny-et	N.SG-ACC
kérdezek	1	kérdez	kérdez-ek	V-IND.PRS.INDF.1.SG
játszanátok	2	játszik	játsz-anátok	V-COND.PRS.INDF.2.PL
laktam	1	lakik	lak-tam	V-IND.PST.INDF.1.SG
integetsz	1	integet	integet-sz	V-IND.PRS.INDF.2.SG.asz
oroszlánt	5	oroszlán	oroszlán-t	N.SG-ACC
puskám	49	puska	puska-m	N.NOM-PSS1S.SG
hatodika	1	hatodika	hatodika	N.NOM.SG
köszöni	1	köszön	köszön-i	V-IND.PRS.DEF.3.SG.i
bezárom	4	bezár	bezár-om	V-IND.PRS.DEF.1.SG
angyalt	3	angyal	angyal-t	N.SG-ACC
keresztbe	2	kereszt	kereszt-be	N.SG-IN+ALL
szombat	2	szombat	szombat	N.NOM.SG
patkány	6	patkány	patkány	N.NOM.SG
lovaim	1	ló	ló-aim	N.NOM-PSS1S.PL
szeret	20	szeret	szeret	V.IND.PRS.INDF.3.SG
állj	23	áll	áll-j	V-SBJV.PRS.INDF.2.SG
ölében	4	öl	öl-e-ben	N.SG-PSS3S-IN+ESS
fotelba	2	fotel	fotel-ba	N.SG-IN+ALL
rigók	3	rigó	rigó-k	N.NOM-PL
megnéztétek	1	megnéz	megnéz-tétek	V-IND.PST.DEF.2.PL
málna	1	málna	málna	N.NOM.SG
gomba	6	gomba	gomba	N.NOM.SG
csikó	7	csikó	csikó	N.NOM.SG
testvére	12	testvér	testvér-e	N.NOM-PSS3S.SG
kiesünk	6	kiesik	kies-ünk	V-IND.PRS.INDF.1.PL
